"colMeans.states.","InfoPublYear","InfoPublMonth"
2,2001,7
2,2001,8
2,2001,9
2,2001,10
1.986,2001,11
2,2001,12
2,2002,1
1.998,2002,2
2,2002,3
2,2002,4
2,2002,5
2,2002,6
2,2002,7
2,2002,8
1.9975,2002,9
1.642,2002,10
1.645,2002,11
1.696,2002,12
1.7015,2003,1
2,2003,2
2,2003,3
1.9935,2003,4
1.9965,2003,5
2,2003,6
1.994,2003,7
1.9695,2003,8
1.965,2003,9
2,2003,10
2,2003,11
1.9835,2003,12
1.995,2004,1
1.976,2004,2
2,2004,3
1.9995,2004,4
2,2004,5
2,2004,6
2,2004,7
1.5075,2004,8
1.063,2004,9
1.053,2004,10
1.2985,2004,11
1.0015,2004,12
1.002,2005,1
1.8385,2005,2
1.825,2005,3
1,2005,4
1,2005,5
1,2005,6
1,2005,7
1,2005,8
1,2005,9
1.0005,2005,10
1,2005,11
1,2005,12
1,2006,1
1.0015,2006,2
1,2006,3
1,2006,4
1,2006,5
1,2006,6
1,2006,7
1,2006,8
1,2006,9
1,2006,10
1.0015,2006,11
1,2006,12
1,2007,1
1,2007,2
1.004,2007,3
1.9405,2007,4
2,2007,5
2,2007,6
2,2007,7
2,2007,8
2,2007,9
1.9945,2007,10
2,2007,11
1.9985,2007,12
2,2008,1
2,2008,2
2,2008,3
2,2008,4
2,2008,5
2,2008,6
1.9965,2008,7
1.9945,2008,8
1.979,2008,9
1.9675,2008,10
1.986,2008,11
1.002,2008,12
1,2009,1
1,2009,2
1,2009,3
1,2009,4
1,2009,5
1,2009,6
1,2009,7
1,2009,8
1.0005,2009,9
1,2009,10
1,2009,11
1.966,2009,12
1.992,2010,1
1.9315,2010,2
1.293,2010,3
1.0035,2010,4
1,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1.0285,2010,11
1.009,2010,12
1.002,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1.9795,2015,4
1.9985,2015,5
2,2015,6
2,2015,7
1.999,2015,8
1.445,2015,9
1.467,2015,10
1,2015,11
1,2015,12
1,2016,1
1.003,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1.0015,2017,3
1.072,2017,4
1.3555,2017,5
1.373,2017,6
1.997,2017,7
1.9995,2017,8
1.982,2017,9
1.9815,2017,10
2,2017,11
1.9205,2017,12
1.8885,2018,1
2,2018,2
2,2018,3
2,2018,4
2,2018,5
2,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.9925,2018,11
1.9685,2018,12
1.871,2019,1
2,2019,2
2,2019,3
2,2019,4
2,2019,5
2,2019,6
2,2019,7
2,2019,8
2,2019,9
2,2019,10
2,2019,11
2,2019,12
2,2020,1
1.985,2020,2
1.986,2020,3
2,2020,4
2,2020,5
1.9965,2020,6
1.9875,2020,7
1.0655,2020,8
1.0405,2020,9
1.027,2020,10
1.02,2020,11
1.0365,2020,12
1.997,2021,1
1.9925,2021,2
1.994,2021,3
2,2021,4
1.71,2021,5
1.146,2021,6
1.0695,2021,7
1.079,2021,8
1.091,2021,9
1.248,2021,10
1.2645,2021,11
1.9995,2021,12
1.142,2022,1
1.003,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
