"colMeans.states.","InfoPublYear","InfoPublMonth"
1.0075,2005,3
1,2005,4
1,2005,5
1,2005,6
1,2005,7
1,2005,8
1,2005,9
1,2005,10
1,2005,11
1,2005,12
1,2006,1
1.008,2006,2
1,2006,3
1,2006,4
1,2006,5
1,2006,6
1,2006,7
1,2006,8
1,2006,9
1.002,2006,10
1.0075,2006,11
1.007,2006,12
1,2007,1
1,2007,2
1.0035,2007,3
1.814,2007,4
2,2007,5
2,2007,6
2,2007,7
2,2007,8
2,2007,9
2,2007,10
2,2007,11
2,2007,12
2,2008,1
2,2008,2
2,2008,3
2,2008,4
2,2008,5
2,2008,6
1.924,2008,7
1.973,2008,8
1.9255,2008,9
1.907,2008,10
1.9685,2008,11
1.021,2008,12
1.005,2009,1
1,2009,2
1,2009,3
1,2009,4
1,2009,5
1,2009,6
1,2009,7
1,2009,8
1.002,2009,9
1.0005,2009,10
1.0005,2009,11
1.9765,2009,12
1.9985,2010,1
1.9525,2010,2
1.6,2010,3
1.008,2010,4
1,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1.0175,2010,11
1.0105,2010,12
1.003,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1.915,2015,4
2,2015,5
2,2015,6
2,2015,7
1.9975,2015,8
1.7775,2015,9
1.743,2015,10
1,2015,11
1,2015,12
1,2016,1
1.001,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1.0015,2017,3
1.405,2017,4
1.711,2017,5
1.727,2017,6
1.998,2017,7
1.9985,2017,8
1.981,2017,9
1.9815,2017,10
2,2017,11
2,2017,12
1.998,2018,1
2,2018,2
2,2018,3
2,2018,4
2,2018,5
2,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.9985,2018,11
1.9925,2018,12
1.9825,2019,1
2,2019,2
2,2019,3
2,2019,4
2,2019,5
2,2019,6
2,2019,7
2,2019,8
2,2019,9
2,2019,10
2,2019,11
2,2019,12
2,2020,1
2,2020,2
2,2020,3
2,2020,4
2,2020,5
1.996,2020,6
1.983,2020,7
1.203,2020,8
1.144,2020,9
1.106,2020,10
1.0905,2020,11
1.115,2020,12
1.9985,2021,1
1.955,2021,2
1.9695,2021,3
1.986,2021,4
1.724,2021,5
1.1525,2021,6
1.095,2021,7
1.1105,2021,8
1.1205,2021,9
1.3515,2021,10
1.3675,2021,11
1.9955,2021,12
1.201,2022,1
1.0145,2022,2
1,2022,3
1,2022,4
1.001,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
