"colMeans.states.","InfoPublYear","InfoPublMonth"
2,2001,7
1.985,2001,8
2,2001,9
1.953,2001,10
1.9575,2001,11
1.9875,2001,12
1.933,2002,1
1.931,2002,2
2,2002,3
2,2002,4
1.9895,2002,5
1.9945,2002,6
2,2002,7
2,2002,8
1.9995,2002,9
2,2002,10
1.998,2002,11
2,2002,12
1.7965,2003,1
1.3505,2003,2
1.302,2003,3
1.5515,2003,4
1.938,2003,5
2,2003,6
2,2003,7
2,2003,8
1.998,2003,9
2,2003,10
2,2003,11
1.992,2003,12
1.8075,2004,1
1.7895,2004,2
2,2004,3
1.9995,2004,4
2,2004,5
1.991,2004,6
1.9995,2004,7
2,2004,8
1.9955,2004,9
1.9975,2004,10
1.9905,2004,11
1,2004,12
1,2005,1
1,2005,2
1,2005,3
1,2005,4
1,2005,5
1,2005,6
1,2005,7
1,2005,8
1,2005,9
1,2005,10
1,2005,11
1,2005,12
1,2006,1
1.0005,2006,2
1.987,2006,3
1.9975,2006,4
1.4915,2006,5
1.002,2006,6
1,2006,7
1,2006,8
1,2006,9
1,2006,10
1,2006,11
1,2006,12
1,2007,1
1,2007,2
1,2007,3
1.5465,2007,4
1.999,2007,5
2,2007,6
1.9865,2007,7
1.992,2007,8
1.9875,2007,9
1.5675,2007,10
1.998,2007,11
2,2007,12
1.9985,2008,1
1.9965,2008,2
2,2008,3
1.999,2008,4
2,2008,5
2,2008,6
1.013,2008,7
1.0005,2008,8
1,2008,9
1.8925,2008,10
2,2008,11
1.0105,2008,12
1,2009,1
1,2009,2
1,2009,3
1,2009,4
1,2009,5
1,2009,6
1,2009,7
1,2009,8
1,2009,9
1.0195,2009,10
1.457,2009,11
1.4205,2009,12
1.273,2010,1
1,2010,2
1,2010,3
1.02,2010,4
1.0075,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1,2010,11
1,2010,12
1,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1,2015,4
1.919,2015,5
2,2015,6
2,2015,7
1.9355,2015,8
1.0015,2015,9
1,2015,10
1,2015,11
1,2015,12
1,2016,1
1,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1.0625,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1,2017,4
1,2017,5
1.0005,2017,6
1.984,2017,7
1.965,2017,8
2,2017,9
1.567,2017,10
1.9995,2017,11
1.876,2017,12
1.8415,2018,1
1.8415,2018,2
2,2018,3
2,2018,4
2,2018,5
1.998,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.983,2018,11
1.8845,2018,12
1.876,2019,1
1.9685,2019,2
2,2019,3
1.96,2019,4
2,2019,5
1.9995,2019,6
1.9995,2019,7
2,2019,8
2,2019,9
2,2019,10
2,2019,11
2,2019,12
1.994,2020,1
2,2020,2
2,2020,3
1.9985,2020,4
1.9995,2020,5
2,2020,6
2,2020,7
2,2020,8
1.9945,2020,9
2,2020,10
1.885,2020,11
1.9795,2020,12
1.1,2021,1
1.1115,2021,2
1.7945,2021,3
1.8765,2021,4
1.8895,2021,5
2,2021,6
1.6575,2021,7
1.6395,2021,8
1.9995,2021,9
2,2021,10
1.007,2021,11
1,2021,12
1,2022,1
1,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
