"colMeans.states.","InfoPublYear","InfoPublMonth"
1,2005,3
1,2005,4
1,2005,5
1.0005,2005,6
1,2005,7
1,2005,8
1,2005,9
1,2005,10
1,2005,11
1,2005,12
1,2006,1
1.0125,2006,2
1.9835,2006,3
1.9995,2006,4
1.8265,2006,5
1.0335,2006,6
1.001,2006,7
1,2006,8
1,2006,9
1,2006,10
1,2006,11
1,2006,12
1,2007,1
1,2007,2
1,2007,3
1.865,2007,4
1.9985,2007,5
1.9985,2007,6
1.9685,2007,7
1.9515,2007,8
1.9265,2007,9
1.7565,2007,10
1.9965,2007,11
2,2007,12
1.988,2008,1
1.982,2008,2
2,2008,3
1.9845,2008,4
2,2008,5
2,2008,6
1.0415,2008,7
1.0015,2008,8
1.0015,2008,9
1.9285,2008,10
2,2008,11
1.0255,2008,12
1,2009,1
1,2009,2
1,2009,3
1,2009,4
1.0045,2009,5
1,2009,6
1,2009,7
1,2009,8
1,2009,9
1.0345,2009,10
1.8065,2009,11
1.8055,2009,12
1.7055,2010,1
1,2010,2
1,2010,3
1.0315,2010,4
1.0165,2010,5
1,2010,6
1,2010,7
1,2010,8
1.002,2010,9
1.001,2010,10
1,2010,11
1,2010,12
1,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1,2015,4
1.85,2015,5
2,2015,6
2,2015,7
1.9615,2015,8
1.0085,2015,9
1,2015,10
1,2015,11
1,2015,12
1,2016,1
1,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1.0455,2016,7
1,2016,8
1,2016,9
1.0005,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1,2017,4
1.0005,2017,5
1.0125,2017,6
1.9895,2017,7
1.9845,2017,8
2,2017,9
1.6815,2017,10
2,2017,11
1.953,2017,12
1.9285,2018,1
1.9285,2018,2
1.9995,2018,3
2,2018,4
2,2018,5
1.9895,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.996,2018,11
1.9875,2018,12
1.9865,2019,1
1.9895,2019,2
1.998,2019,3
1.9795,2019,4
2,2019,5
1.999,2019,6
1.999,2019,7
2,2019,8
2,2019,9
1.999,2019,10
2,2019,11
2,2019,12
1.9915,2020,1
1.9925,2020,2
2,2020,3
1.951,2020,4
1.999,2020,5
2,2020,6
2,2020,7
2,2020,8
1.9975,2020,9
2,2020,10
1.8305,2020,11
1.952,2020,12
1.71,2021,1
1.714,2021,2
1.8405,2021,3
1.8935,2021,4
1.898,2021,5
2,2021,6
1.9215,2021,7
1.916,2021,8
1.9995,2021,9
2,2021,10
1.019,2021,11
1.0005,2021,12
1,2022,1
1.0005,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
