"colMeans.states.","InfoPublYear","InfoPublMonth"
1.129875,2001,12
1.258125,2002,3
2,2002,6
2,2002,7
2,2002,8
1.989375,2002,9
1.02375,2002,10
1.0685,2002,11
1.013375,2002,12
1.00525,2003,1
1.864375,2003,3
2,2003,4
1.5545,2003,5
1.954625,2003,6
1.870875,2003,7
1.962,2003,8
1.0055,2003,9
1.9685,2003,10
1.99275,2003,11
1.924375,2003,12
2,2004,1
1.999875,2004,2
2,2004,3
2,2004,5
2,2004,8
1.997625,2004,12
1.99975,2005,1
1.999875,2005,4
2,2005,5
2,2005,6
2,2005,7
2,2005,8
1.19925,2005,9
1.325125,2005,10
1.00925,2005,11
1.018375,2005,12
1.906625,2006,1
2,2006,2
1.9815,2006,3
2,2006,4
1.99925,2006,5
2,2006,6
1.99575,2006,7
1.193625,2006,8
1.017125,2006,9
1.004125,2006,10
1,2006,11
1.001375,2006,12
1.007375,2007,1
2,2007,2
2,2007,3
2,2007,5
2,2007,6
2,2007,7
1.935375,2007,8
1.999625,2007,9
1.966,2007,10
1.996125,2007,11
2,2007,12
2,2008,1
1.997375,2008,5
1.997875,2008,6
1.716875,2008,7
1.425625,2008,8
1.002,2008,9
1,2008,10
1.000125,2008,12
1.000375,2009,1
1,2009,2
1,2009,3
1,2009,4
1.295375,2009,5
1.99775,2009,6
1.96225,2009,7
1.003875,2009,8
1.000125,2009,9
1.00025,2009,11
1,2009,12
1,2010,1
1.106625,2010,2
1,2010,3
1,2010,4
1.101125,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1,2010,11
1,2010,12
1,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1.039125,2015,4
1.01275,2015,5
1.913625,2015,6
2,2015,7
1.01175,2015,8
1.015625,2015,9
1.013875,2015,10
1.022,2015,11
1,2015,12
1,2016,1
1.00075,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1.00075,2017,4
1.000125,2017,5
1,2017,6
1.001125,2017,7
1.059625,2017,8
1.4085,2017,9
1.02875,2017,10
1.302,2017,11
1.987125,2018,2
2,2018,3
2,2018,4
2,2018,5
1.999875,2018,6
1.999875,2018,7
1.998875,2018,8
2,2018,9
2,2018,10
1.939,2018,11
1.98425,2018,12
1.992625,2019,1
1.601875,2019,2
1.56375,2019,3
1.03075,2019,4
1.024,2019,5
1.473875,2019,6
1.999125,2019,7
2,2019,8
2,2019,9
1.99975,2019,11
2,2020,1
1.806375,2020,2
1.88925,2020,3
1.999875,2020,4
1.866375,2020,5
1.984,2020,6
1.73425,2020,7
1.022625,2020,8
1.00225,2020,9
1.000875,2020,10
1.000875,2020,11
1.019625,2020,12
1,2021,1
1.0045,2021,2
1.0625,2021,3
1.999,2021,4
1.993875,2021,5
1.99525,2021,6
1.013125,2021,7
1.00225,2021,8
1.990625,2021,9
1.066375,2021,10
1.000375,2021,11
1.00025,2021,12
1,2022,1
1,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
1,2023,6
1,2023,7
1,2023,8
1,2023,9
1,2023,10
1,2023,11
1,2023,12
2,2024,1
