"colMeans.states.","InfoPublYear","InfoPublMonth"
2,2001,9
2,2001,10
2,2001,11
1.619,2001,12
1.83866666666667,2002,3
2,2002,6
2,2002,7
2,2002,8
1.52133333333333,2002,9
1.00033333333333,2002,10
1.91933333333333,2002,11
1.00533333333333,2002,12
1.00533333333333,2003,1
1.502,2003,3
2,2003,4
1.02233333333333,2003,5
1.02866666666667,2003,6
1.01533333333333,2003,7
1.99966666666667,2003,8
1.27266666666667,2003,9
1.83266666666667,2003,10
1.98,2003,11
1.89533333333333,2003,12
2,2004,1
2,2004,2
2,2004,3
2,2004,5
2,2004,8
1.982,2004,12
1.99966666666667,2005,1
1.02733333333333,2005,4
2,2005,5
2,2005,6
1.998,2005,7
2,2005,8
1.186,2005,9
1.65533333333333,2005,10
1,2005,11
1,2005,12
1.13033333333333,2006,1
2,2006,2
1.99966666666667,2006,3
2,2006,4
2,2006,5
2,2006,6
1.999,2006,7
1.00066666666667,2006,8
1.00066666666667,2006,9
1.00666666666667,2006,10
1.00033333333333,2006,11
1,2006,12
1.02366666666667,2007,1
1.99933333333333,2007,2
2,2007,3
2,2007,5
2,2007,6
2,2007,7
1.04,2007,8
1.896,2007,9
1.93166666666667,2007,10
2,2007,11
2,2007,12
2,2008,1
2,2008,5
2,2008,6
1.11333333333333,2008,7
1.11133333333333,2008,8
1,2008,9
1,2008,10
1,2008,12
1,2009,1
1,2009,2
1.016,2009,3
1,2009,4
1.10833333333333,2009,5
1.92433333333333,2009,6
1.46333333333333,2009,7
1,2009,8
1,2009,9
1,2009,11
1,2009,12
1,2010,1
1.358,2010,2
1,2010,3
1,2010,4
1,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1,2010,11
1,2010,12
1,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1.26033333333333,2015,4
1.02933333333333,2015,5
1.96133333333333,2015,6
2,2015,7
1.01333333333333,2015,8
1.029,2015,9
1.00566666666667,2015,10
1,2015,11
1,2015,12
1,2016,1
1.00066666666667,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1,2017,4
1,2017,5
1,2017,6
1.002,2017,7
1.00633333333333,2017,8
1.188,2017,9
1.00666666666667,2017,10
1.16766666666667,2017,11
1.38133333333333,2018,2
2,2018,3
2,2018,4
2,2018,5
2,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.37666666666667,2018,11
1.017,2018,12
1.99166666666667,2019,1
1.983,2019,2
1.56566666666667,2019,3
1.00166666666667,2019,4
1.02266666666667,2019,5
1.33766666666667,2019,6
1.35233333333333,2019,7
2,2019,8
2,2019,9
2,2019,11
2,2020,1
1.99133333333333,2020,2
1.70666666666667,2020,3
2,2020,4
2,2020,5
2,2020,6
2,2020,7
1.69466666666667,2020,8
1,2020,9
1,2020,10
1,2020,11
1,2020,12
1.00066666666667,2021,1
1.386,2021,2
1.37633333333333,2021,3
2,2021,4
2,2021,5
1.999,2021,6
1,2021,7
1,2021,8
2,2021,9
1.00233333333333,2021,10
1,2021,11
1,2021,12
1,2022,1
1,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
1,2023,6
1,2023,7
1,2023,8
1,2023,9
1,2023,10
1,2023,11
1,2023,12
2,2024,1
