"colMeans.states.","InfoPublYear","InfoPublMonth"
1.75566666666667,2002,2
2,2002,3
1,2002,4
1,2002,5
1,2002,6
1,2002,7
1,2002,8
1,2002,9
1.97933333333333,2002,10
2,2002,11
2,2002,12
1.46866666666667,2003,1
1,2003,2
1,2003,3
1,2003,4
1.99866666666667,2003,5
2,2003,6
1,2003,7
1.74266666666667,2003,8
1.00066666666667,2003,9
2,2003,10
2,2003,11
2,2003,12
1,2004,1
1,2004,2
2,2004,3
1,2004,4
1,2004,5
1,2004,6
1,2004,7
1,2004,8
1,2004,9
1,2004,10
1,2004,11
1,2004,12
1,2005,1
1,2005,2
1,2005,3
1,2005,4
2,2005,5
2,2005,6
2,2005,7
2,2005,8
2,2005,9
2,2005,10
2,2005,11
1.99833333333333,2005,12
2,2006,1
2,2006,2
2,2006,3
2,2006,4
2,2006,5
1.99866666666667,2006,6
2,2006,7
2,2006,8
2,2006,9
2,2006,10
2,2006,11
2,2006,12
2,2007,1
2,2007,2
1,2007,3
1,2007,4
1,2007,5
1,2007,6
1,2007,7
1,2007,8
2,2007,9
2,2007,10
2,2007,11
2,2007,12
1,2008,1
1,2008,2
1,2008,3
1,2008,4
2,2008,5
2,2008,6
1.98466666666667,2008,7
2,2008,8
2,2008,9
2,2008,10
1,2008,11
2,2008,12
1.99866666666667,2009,1
1.669,2009,2
2,2009,3
2,2009,4
2,2009,5
2,2009,6
2,2009,7
2,2009,8
2,2009,9
1,2009,10
1,2009,11
2,2009,12
2,2010,1
2,2010,2
2,2010,3
1.97066666666667,2010,4
2,2010,5
1.98133333333333,2010,6
1.54933333333333,2010,7
2,2010,8
2,2010,9
1,2010,10
1.989,2010,11
1.19866666666667,2010,12
1.01166666666667,2011,1
1.00866666666667,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1.02633333333333,2013,7
1,2013,8
1,2013,9
1,2013,10
1.00033333333333,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1.001,2014,12
1,2015,1
1,2015,2
1,2015,3
1.23866666666667,2015,4
1.999,2015,5
2,2015,6
1.18333333333333,2015,7
2,2015,8
2,2015,9
2,2015,10
1.91366666666667,2015,11
1.00066666666667,2015,12
1,2016,1
2,2016,2
1.52466666666667,2016,3
1.00033333333333,2016,4
1,2016,5
1,2016,6
2,2016,7
1.00933333333333,2016,8
1,2016,9
1,2016,10
1.00166666666667,2016,11
1,2016,12
1,2017,1
1.028,2017,2
2,2017,3
2,2017,4
2,2017,5
2,2017,6
2,2017,7
1.99933333333333,2017,8
2,2017,9
2,2017,10
2,2017,11
1,2017,12
1,2018,1
2,2018,2
1,2018,3
1,2018,4
2,2018,5
2,2018,6
1,2018,7
1,2018,8
2,2018,9
2,2018,10
2,2018,11
2,2018,12
2,2019,1
1.185,2019,2
2,2019,3
2,2019,4
1.056,2019,5
2,2019,6
2,2019,7
2,2019,8
2,2019,9
1.52733333333333,2019,10
1.98833333333333,2019,11
1,2019,12
1,2020,1
2,2020,2
2,2020,3
2,2020,4
2,2020,5
2,2020,6
1.00033333333333,2020,7
1.00033333333333,2020,8
2,2020,9
2,2020,10
2,2020,11
2,2020,12
2,2021,1
2,2021,2
2,2021,3
2,2021,4
2,2021,5
1,2021,6
2,2021,7
1.99966666666667,2021,8
2,2021,9
2,2021,10
1.99933333333333,2021,11
1.998,2021,12
1.06566666666667,2022,1
1.00066666666667,2022,2
1.00266666666667,2022,3
1.01666666666667,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1.03,2022,10
1,2022,11
1.02966666666667,2022,12
1.001,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
