"colMeans.states.","InfoPublYear","InfoPublMonth"
2,2005,3
2,2005,4
2,2005,5
2,2005,6
2,2005,7
2,2005,8
2,2005,9
2,2005,10
2,2005,11
2,2005,12
2,2006,1
2,2006,2
2,2006,3
2,2006,4
2,2006,5
2,2006,6
2,2006,7
2,2006,8
2,2006,9
2,2006,10
2,2006,11
2,2006,12
2,2007,1
2,2007,2
2,2007,3
2,2007,4
2,2007,5
2,2007,6
2,2007,7
2,2007,8
2,2007,9
2,2007,10
2,2007,11
2,2007,12
2,2008,1
2,2008,2
2,2008,3
2,2008,4
2,2008,5
2,2008,6
2,2008,7
2,2008,8
2,2008,9
2,2008,10
2,2008,11
2,2008,12
2,2009,1
2,2009,2
2,2009,3
2,2009,4
2,2009,5
2,2009,6
2,2009,7
2,2009,8
2,2009,9
2,2009,10
2,2009,11
2,2009,12
2,2010,1
2,2010,2
2,2010,3
2,2010,4
2,2010,5
2,2010,6
2,2010,7
2,2010,8
2,2010,9
2,2010,10
2,2010,11
2,2010,12
2,2011,1
2,2011,2
2,2011,3
2,2011,4
2,2011,5
2,2011,6
2,2011,7
2,2011,8
2,2011,9
2,2011,10
2,2011,11
2,2011,12
2,2012,1
2,2012,2
2,2012,3
2,2012,4
2,2012,5
2,2012,6
2,2012,7
2,2012,8
2,2012,9
2,2012,10
2,2012,11
2,2012,12
2,2013,1
2,2013,2
2,2013,3
2,2013,4
2,2013,5
2,2013,6
2,2013,7
2,2013,8
2,2013,9
2,2013,10
2,2013,11
2,2013,12
2,2014,1
2,2014,2
2,2014,3
2,2014,4
2,2014,5
2,2014,6
2,2014,7
2,2014,8
2,2014,9
2,2014,10
2,2014,11
2,2014,12
2,2015,1
2,2015,2
2,2015,3
2,2015,4
2,2015,5
2,2015,6
2,2015,7
2,2015,8
2,2015,9
2,2015,10
2,2015,11
2,2015,12
2,2016,1
2,2016,2
2,2016,3
2,2016,4
2,2016,5
2,2016,6
2,2016,7
2,2016,8
2,2016,9
2,2016,10
2,2016,11
2,2016,12
2,2017,1
2,2017,2
2,2017,3
2,2017,4
2,2017,5
2,2017,6
2,2017,7
2,2017,8
2,2017,9
2,2017,10
2,2017,11
2,2017,12
2,2018,1
2,2018,2
2,2018,3
2,2018,4
2,2018,5
2,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
2,2018,11
2,2018,12
2,2019,1
2,2019,2
2,2019,3
2,2019,4
2,2019,5
2,2019,6
2,2019,7
2,2019,8
2,2019,9
2,2019,10
2,2019,11
2,2019,12
2,2020,1
2,2020,2
2,2020,3
2,2020,4
2,2020,5
2,2020,6
2,2020,7
2,2020,8
2,2020,9
2,2020,10
2,2020,11
2,2020,12
2,2021,1
2,2021,2
2,2021,3
2,2021,4
2,2021,5
2,2021,6
2,2021,7
2,2021,8
2,2021,9
2,2021,10
2,2021,11
2,2021,12
2,2022,1
2,2022,2
2,2022,3
2,2022,4
2,2022,5
2,2022,6
2,2022,7
2,2022,8
2,2022,9
2,2022,10
2,2022,11
2,2022,12
2,2023,1
2,2023,2
2,2023,3
2,2023,4
2,2023,5
