"colMeans.states.","InfoPublYear","InfoPublMonth"
2,2001,6
2,2001,7
1.99966666666667,2001,8
1.05633333333333,2001,9
2,2001,10
1.811,2001,11
2,2001,12
2,2002,1
1.948,2002,2
2,2002,3
2,2002,4
1.65,2002,5
1.56766666666667,2002,6
2,2002,7
1.99966666666667,2002,8
1.85933333333333,2002,9
1.381,2002,10
1.00133333333333,2002,11
1.00133333333333,2002,12
2,2003,1
1.42766666666667,2003,2
2,2003,3
2,2003,4
1.97666666666667,2003,5
2,2003,6
1.99966666666667,2003,7
2,2003,8
2,2003,9
2,2003,10
2,2003,11
1.98833333333333,2003,12
1.86166666666667,2004,1
1.94233333333333,2004,2
2,2004,3
2,2004,4
2,2004,5
1.625,2004,6
2,2004,7
1.70666666666667,2004,8
1.557,2004,9
1.537,2004,10
1,2004,11
1,2004,12
1,2005,1
1,2005,2
1,2005,3
1,2005,4
1,2005,5
1,2005,6
1,2005,7
1,2005,8
1,2005,9
1,2005,10
1,2005,11
1,2005,12
1,2006,1
1,2006,2
1.27633333333333,2006,3
1.04666666666667,2006,4
1.84066666666667,2006,5
1,2006,6
1,2006,7
1,2006,8
1,2006,9
1,2006,10
1,2006,11
1,2006,12
1,2007,1
1,2007,2
1,2007,3
1,2007,4
2,2007,5
1.99633333333333,2007,6
2,2007,7
2,2007,8
2,2007,9
1.24833333333333,2007,10
1.006,2007,11
1,2007,12
1,2008,1
1.33033333333333,2008,2
1.314,2008,3
1.30066666666667,2008,4
1.995,2008,5
1.02833333333333,2008,6
1,2008,7
1,2008,8
1,2008,9
1.00066666666667,2008,10
1,2008,11
1,2008,12
1,2009,1
1,2009,2
1,2009,3
1,2009,4
1,2009,5
1,2009,6
1,2009,7
1,2009,8
1.08,2009,9
1.01133333333333,2009,10
1.00733333333333,2009,11
1.00033333333333,2009,12
1.434,2010,1
1.14233333333333,2010,2
1,2010,3
1,2010,4
1,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1.88966666666667,2010,11
1.67833333333333,2010,12
1.28333333333333,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1,2015,4
1.05866666666667,2015,5
2,2015,6
2,2015,7
1.99666666666667,2015,8
1.43133333333333,2015,9
1.03266666666667,2015,10
1,2015,11
1,2015,12
1,2016,1
1,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1.02666666666667,2017,4
1.07833333333333,2017,5
1.10733333333333,2017,6
1.98966666666667,2017,7
1.62533333333333,2017,8
2,2017,9
2,2017,10
1.338,2017,11
1,2017,12
1,2018,1
1,2018,2
2,2018,3
2,2018,4
2,2018,5
2,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.922,2018,11
1.756,2018,12
1.96566666666667,2019,1
2,2019,2
2,2019,3
2,2019,4
2,2019,5
1.416,2019,6
1.807,2019,7
1.99966666666667,2019,8
2,2019,9
2,2019,10
1.999,2019,11
2,2019,12
2,2020,1
1.998,2020,2
2,2020,3
1.676,2020,4
1.665,2020,5
2,2020,6
1.999,2020,7
1.7,2020,8
1,2020,9
1,2020,10
1.016,2020,11
1.01,2020,12
2,2021,1
1.22966666666667,2021,2
1.043,2021,3
1.03166666666667,2021,4
1.00433333333333,2021,5
1,2021,6
1.15433333333333,2021,7
1.166,2021,8
1.99233333333333,2021,9
1.889,2021,10
1.009,2021,11
1.01766666666667,2021,12
1.00266666666667,2022,1
1.99666666666667,2022,2
1.00166666666667,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
