"colMeans.states.","InfoPublYear","InfoPublMonth"
2,2001,6
2,2001,7
1.867,2001,8
2,2001,9
1.34466666666667,2001,10
1.57466666666667,2001,11
2,2001,12
1.53033333333333,2002,1
1.314,2002,2
2,2002,3
1.77266666666667,2002,4
1.74,2002,5
1.007,2002,6
1.99933333333333,2002,7
1.96433333333333,2002,8
2,2002,9
1.047,2002,10
1,2002,11
1,2002,12
1.591,2003,1
2,2003,2
1.99466666666667,2003,3
1.69766666666667,2003,4
1.97233333333333,2003,5
2,2003,6
1.00133333333333,2003,7
1.177,2003,8
1.001,2003,9
2,2003,10
2,2003,11
2,2003,12
1.01766666666667,2004,1
1,2004,2
2,2004,3
1.61466666666667,2004,4
1.99833333333333,2004,5
2,2004,6
2,2004,7
1.97933333333333,2004,8
1.036,2004,9
1.258,2004,10
2,2004,11
1.00833333333333,2004,12
1,2005,1
2,2005,2
1.98966666666667,2005,3
1,2005,4
1,2005,5
1.00766666666667,2005,6
1,2005,7
1,2005,8
1,2005,9
1.00433333333333,2005,10
1,2005,11
1,2005,12
1,2006,1
1.014,2006,2
1,2006,3
2,2006,4
1.009,2006,5
1,2006,6
1,2006,7
1,2006,8
1,2006,9
1,2006,10
1,2006,11
1,2006,12
1,2007,1
1,2007,2
1,2007,3
1.95133333333333,2007,4
2,2007,5
2,2007,6
1.73566666666667,2007,7
1.04033333333333,2007,8
1.16966666666667,2007,9
2,2007,10
1.63233333333333,2007,11
1.011,2007,12
1,2008,1
1.002,2008,2
1.22833333333333,2008,3
2,2008,4
2,2008,5
2,2008,6
1,2008,7
1,2008,8
1,2008,9
1.017,2008,10
1,2008,11
1,2008,12
1,2009,1
1,2009,2
1,2009,3
1,2009,4
1,2009,5
1.00433333333333,2009,6
1,2009,7
1.17766666666667,2009,8
1,2009,9
1,2009,10
1,2009,11
1.94766666666667,2009,12
1.12966666666667,2010,1
1.00866666666667,2010,2
1,2010,3
1,2010,4
1.00666666666667,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1,2010,11
1,2010,12
1,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1.02833333333333,2015,4
1.49233333333333,2015,5
1.95166666666667,2015,6
2,2015,7
1.99966666666667,2015,8
1.003,2015,9
1,2015,10
1,2015,11
1,2015,12
1,2016,1
1.01466666666667,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1.869,2017,3
1,2017,4
1.00366666666667,2017,5
1,2017,6
1.956,2017,7
1.93533333333333,2017,8
2,2017,9
1.435,2017,10
2,2017,11
2,2017,12
2,2018,1
2,2018,2
2,2018,3
2,2018,4
2,2018,5
2,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.99966666666667,2018,11
1.83,2018,12
1.999,2019,1
1.021,2019,2
1.925,2019,3
1,2019,4
1.04566666666667,2019,5
2,2019,6
2,2019,7
2,2019,8
2,2019,9
2,2019,10
2,2019,11
2,2019,12
2,2020,1
1.24966666666667,2020,2
1.393,2020,3
2,2020,4
2,2020,5
2,2020,6
1.99966666666667,2020,7
1.56466666666667,2020,8
1.545,2020,9
1.87766666666667,2020,10
1.147,2020,11
1.84366666666667,2020,12
1,2021,1
1,2021,2
1.554,2021,3
1.05733333333333,2021,4
1.90133333333333,2021,5
1.057,2021,6
1.14033333333333,2021,7
1.989,2021,8
1.58,2021,9
1.942,2021,10
1.00033333333333,2021,11
1,2021,12
1.01133333333333,2022,1
1,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
